dte,name
2020-04-13,Easter Monday
2020-04-23,St. George's Day
2020-05-08,Early May Bank Holiday (May Day)
2020-05-25,Late May Bank Holiday
2020-06-21,Father's Day
2020-08-31,August Bank Holiday
2020-10-31,Halloween
2020-11-05,Guy Fawkes Day
2020-12-25,Christmas Day
2020-12-26,Boxing Day
2020-12-28,Substitute day for Boxing Day
2021-01-01,New Year's Day
2021-02-14,Valentine's Day
2021-03-01,St. David's Day
2021-03-14,Mother's day
2021-04-02,Good Friday
2021-04-05,Easter Monday
2021-04-23,St. George's Day
2021-05-03,Early May Bank Holiday (May Day)
2021-05-31,Late May Bank Holiday
2021-06-20,Father's Day
2021-08-30,August Bank Holiday
2021-10-31,Halloween
2021-11-05,Guy Fawkes Day
2021-12-25,Christmas Day
2021-12-26,Boxing Day
2021-12-27,Substitute day for Christmas Day
2021-12-28,Substitute day for Boxing Day
2022-01-03,New Year's Day
2022-02-14,Valentine's Day
2022-03-01,St. David's Day
2022-03-27,Mother's day
2022-04-15,Good Friday
2022-04-18,Easter Monday
2022-04-23,St. George's Day
2022-05-02,Early May Bank Holiday (May Day)
2022-06-02,Late May Bank Holiday
2022-06-03,Platinum Jubilee of Elizabeth II
2022-06-19,Father's Day
2022-08-29,August Bank Holiday
2022-10-31,Halloween
2022-11-05,Guy Fawkes Day
2022-12-25,Christmas Day
2022-12-26,Boxing Day
2022-12-27,Substitute day for Christmas Day
2023-01-02,New Year's Day
2023-02-14,Valentine's Day
2023-03-01,St. David's Day
2023-03-19,Mother's day
2023-04-07,Good Friday
2023-04-10,Easter Monday
2023-04-23,St. George's Day
2023-05-01,Early May Bank Holiday (May Day)
2023-05-29,Late May Bank Holiday
2023-06-18,Father's Day
2023-08-28,August Bank Holiday
2023-10-31,Halloween
2023-11-05,Guy Fawkes Day
2023-12-25,Christmas Day
2023-12-26,Boxing Day
2024-01-01,New Year's Day
2024-02-14,Valentine's Day
2024-03-01,St. David's Day
2024-03-10,Mother's day
2024-03-29,Good Friday
2024-04-01,Easter Monday
2024-04-23,St. George's Day
2024-05-06,Early May Bank Holiday (May Day)
2024-05-27,Late May Bank Holiday
2024-06-16,Father's Day
2024-08-26,August Bank Holiday
2024-10-31,Halloween
2024-11-05,Guy Fawkes Day
2024-12-25,Christmas Day
2024-12-26,Boxing Day
2025-01-01,New Year's Day
2025-02-14,Valentine's Day
2025-03-01,St. David's Day
2025-03-30,Mother's day
2025-04-18,Good Friday
2025-04-21,Easter Monday
2025-04-23,St. George's Day
2025-05-05,Early May Bank Holiday (May Day)
2025-05-26,Late May Bank Holiday
2025-06-15,Father's Day
2025-08-25,August Bank Holiday
2025-10-31,Halloween
2025-11-05,Guy Fawkes Day
2025-12-25,Christmas Day
2025-12-26,Boxing Day
